PROVIDER_ID,Std_Outcomes_Mortality_score,lower_Outcomes_Mortality_score,upper_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,lower_Outcomes_Readmission_score,upper_Outcomes_Readmission_score,Std_Outcomes_Safety_score,lower_Outcomes_Safety_score,upper_Outcomes_Safety_score,Std_PatientExp_score,lower_PtExp_score,upper_PtExp_score,Std_Efficiency_score,lower_Efficiency_score,upper_Efficiency_score,Std_Process_Effect_score,lower_Process_Effect_score,upper_Process_Effect_score,Std_Process_Time_score,lower_Process_Time_score,upper_Process_Time_score,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Efficiency,weight_Process_time,weight_Process_Effect,summary_score,Lower_summary_score,Upper_summary_score,Summary_score_win,star,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Efficiency_cnt,Process_Timeliness_cnt,Process_Effectiveness_cnt,Total_measure_group_cnt,Outcomes_Measure_Group_cnt,report_indicator,Out_Mrt_Grp_Score_Cat,Out_Readm_grp_Score_Cat,Out_Sft_Grp_Score_Cat,Pt_Exp_Grp_Score_Cat,Eff_Imaging_Grp_Score_Cat,Prc_Effect_of_Care_Grp_Score_Cat,Prc_Time_of_Care_Grp_Score_Cat
460021,-1.501950313,-2.275142851,-0.728757776,1.183813879,0.889175103,1.478452655,1.17072945,0.848448534,1.493010365,0.613819271,0.466902499,0.760736043,0.208687963,-0.288372337,0.705748263,0.902137195,-0.144885884,1.949160273,0.429443119,-0.000509336,0.859395574,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.384221434,0.180180626,0.588262242,0.384221434,4,7,7,8,11,5,5,9,7,3,1,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
460023,0.207858696,-1.346372361,1.762089753,1.911399788,1.185659688,2.637139888,-0.940206637,-1.71947331,-0.160939965,0.362757908,0.132038565,0.593477251,0.63026907,-0.285032527,1.545570667,0.768031319,-0.340578275,1.876640914,0.654504577,0.091729774,1.217279381,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.421310345,-0.000710413,0.843331103,0.421310345,4,2,5,4,11,4,7,9,6,2,1,Same as the national avera,Above the national average,Below the national average,Above the national average,Same as the national avera,Same as the national avera,Above the national average
460026,-0.108234014,-1.818836057,1.602368028,0.672365247,-0.404350504,1.749080997,0.054405614,-1.061760597,1.170571825,0.119511644,-0.478751797,0.717775085,0.519574342,-0.714195424,1.753344109,0.355968535,-0.883575571,1.595512642,0.747005853,0.158178363,1.335833344,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.227272617,-0.302507814,0.757053048,0.227272617,4,2,2,3,11,4,6,7,5,1,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average
460030,-0.251434768,-1.864413908,1.361544371,0.404818517,-0.666996269,1.476633303,0.301401126,-0.864497796,1.467300048,-0.219835273,-0.799974588,0.360304042,-0.007592485,-1.35855342,1.34336845,0.37005382,-0.837887628,1.577995269,1.163487533,0.591112021,1.735863045,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.112726867,-0.406165503,0.631619237,0.112726867,3,3,3,5,11,2,6,7,6,3,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average
460033,0.00067044,-1.865743162,1.867084042,0.457206397,-0.974311509,1.888724303,-0.039724847,-1.564620793,1.485171099,,,,0.345457074,-1.24479627,1.935710418,-0.01674317,-1.639149814,1.605663473,1.281550998,0.619122605,1.943979391,,0.282051282,0.282051282,0.282051282,0.051282051,0.051282051,0.051282051,0.200517992,-0.599194243,1.000230227,0.200517992,3,1,1,2,0,1,6,5,2,0,0,Same as the national avera,Same as the national avera,Same as the national avera,missing,Same as the national avera,Same as the national avera,Above the national average
460035,0.143516226,-1.674104501,1.961136952,0.072891741,-1.404570874,1.550354357,-0.037247857,-1.592872427,1.518376713,,,,0.564627059,-0.876221924,2.005476042,-0.930439128,-2.45118559,0.590307335,1.22322848,0.462677201,1.983779759,,0.282051282,0.282051282,0.282051282,0.051282051,0.051282051,0.051282051,0.094502411,-0.706582727,0.89558755,0.094502411,3,1,1,2,0,3,6,6,3,0,0,Same as the national avera,Same as the national avera,Same as the national avera,missing,Same as the national avera,Same as the national avera,Above the national average
460039,-0.026058809,-1.925873057,1.873755439,0.160075428,-1.395165103,1.715315959,0.007672043,-1.609572003,1.62491609,,,,0.095849071,-1.461315185,1.653013326,0.538801088,-0.872767106,1.950369283,0.282589379,-0.482631244,1.047810002,,0.282051282,0.282051282,0.282051282,0.051282051,0.051282051,0.051282051,0.087001394,-0.749914105,0.923916893,0.087001394,3,1,1,2,0,2,6,7,2,0,0,Same as the national avera,Same as the national avera,Same as the national avera,missing,Same as the national avera,Same as the national avera,Same as the national avera
460041,-1.174623691,-2.420234624,0.070987242,0.804992488,0.188657181,1.421327796,-2.878106699,-3.553028967,-2.203184432,-1.018746317,-1.38664378,-0.650848854,0.572472009,-0.450543161,1.595487179,-0.159767698,-1.107138881,0.787603485,1.024536605,0.644299617,1.404773593,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.881136892,-1.235196256,-0.527077527,-0.881136892,2,6,7,7,11,5,5,7,7,3,1,Same as the national avera,Above the national average,Below the national average,Below the national average,Same as the national avera,Same as the national avera,Above the national average
460042,-0.199597315,-1.54650302,1.147308389,0.828115829,0.195608297,1.460623361,1.618751445,0.956630236,2.280872654,0.555279438,0.165355416,0.94520346,0.636721724,-0.343285438,1.616728887,0.447650346,-1.046681997,1.941982689,0.797400681,0.340271354,1.254530009,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.691831777,0.31617306,1.067490495,0.691831777,4,6,4,7,11,3,5,5,7,3,1,Same as the national avera,Above the national average,Above the national average,Above the national average,Same as the national avera,Same as the national avera,Above the national average
460043,,,,,,,-0.00364498,-1.928274614,1.920984653,1.211419715,0.818820779,1.604018651,0.438352896,-1.131708037,2.00841383,0.236180654,-1.492435073,1.964796381,1.01089627,-0.233663734,2.255456274,0.392857143,,,0.392857143,0.071428571,0.071428571,0.071428571,0.594870776,-0.199417451,1.389159003,0.594870776,4,0,1,0,11,1,3,4,3,0,0,missing,missing,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
